gene,importance
ENSG00000198650.11,0.028054917
ENSG00000168615.13,0.028046867
ENSG00000139211.7,0.028001966
ENSG00000237940.3,0.02799218
ENSG00000149534.9,0.027978217
ENSG00000249306.6,0.027924739
ENSG00000188171.16,0.027893243
ENSG00000197594.13,0.02788722
ENSG00000189431.8,0.0278249
ENSG00000133687.16,0.02776458
ENSG00000064651.14,0.02775914
ENSG00000152078.10,0.027700085
ENSG00000074416.14,0.0276961
ENSG00000182263.14,0.027599249
ENSG00000114737.16,0.027591232
ENSG00000103034.14,0.027523397
ENSG00000164171.11,0.027500512
ENSG00000134769.21,0.027479248
ENSG00000162909.18,0.027443547
ENSG00000159184.8,0.027342908
ENSG00000048052.22,0.027312776
ENSG00000276180.1,0.02710269
ENSG00000205133.12,0.027084483
ENSG00000265972.6,0.02707164
ENSG00000030419.16,0.026987378
ENSG00000137819.14,0.02698533
ENSG00000185760.17,0.026944019
ENSG00000182013.18,0.026873343
ENSG00000280119.1,0.026869034
ENSG00000266074.10,0.02685853
ENSG00000136717.15,0.026851514
ENSG00000113763.12,0.026851004
ENSG00000213225.7,0.026807092
ENSG00000136457.10,0.02679789
ENSG00000142089.16,0.026766123
ENSG00000085741.13,0.026676157
ENSG00000172461.11,0.026674325
ENSG00000237541.4,0.026650224
ENSG00000168672.4,0.026581421
ENSG00000287262.1,0.026562
ENSG00000219438.9,0.026523348
ENSG00000197308.9,0.026520586
ENSG00000143816.8,0.026453396
ENSG00000197457.10,0.02636701
ENSG00000153446.16,0.026346993
ENSG00000145819.18,0.026316613
ENSG00000175899.15,0.026272038
ENSG00000113396.13,0.026246853
ENSG00000151458.12,0.026246214
ENSG00000081803.16,0.026223188
ENSG00000144452.15,0.02619102
ENSG00000178401.16,0.026173024
ENSG00000133315.12,0.026151875
ENSG00000008513.16,0.026128905
ENSG00000198807.13,0.02611935
ENSG00000175264.8,0.026079366
ENSG00000090661.12,0.026058553
ENSG00000204434.6,0.026041312
ENSG00000093072.18,0.025990788
ENSG00000108551.5,0.025920622
ENSG00000175161.14,0.025917945
ENSG00000171236.10,0.025917714
ENSG00000197903.8,0.025871325
ENSG00000172164.15,0.025856022
ENSG00000253154.2,0.025843302
